CIP Title,SOC Title
Landscape Architecture.,"Architecture Teachers, Postsecondary"
"Architectural History and Criticism, General.","Architects, Except Landscape and Naval"
"Architectural History and Criticism, General.",Historians
Architectural Conservation.,Historians
Architectural Conservation.,"Architecture Teachers, Postsecondary"
Architectural Studies.,"Architecture Teachers, Postsecondary"
"Architectural History, Criticism, and Conservation, Other.","Architecture Teachers, Postsecondary"
Architectural Technology/Technician.,Architectural and Civil Drafters
Architectural and Building Sciences/Technology.,Architectural and Engineering Managers
Architectural and Building Sciences/Technology.,Architectural and Civil Drafters
Architectural and Building Sciences/Technology.,"Architecture Teachers, Postsecondary"
"Architectural Sciences and Technology, Other.",Architectural and Civil Drafters
"Architectural Sciences and Technology, Other.","Architecture Teachers, Postsecondary"
Real Estate Development.,"Property, Real Estate, and Community Association Managers"
Real Estate Development.,Appraisers and Assessors of Real Estate
Real Estate Development.,Urban and Regional Planners
Real Estate Development.,"Social Sciences Teachers, Postsecondary, All Other"
Real Estate Development.,Real Estate Brokers
Real Estate Development.,Real Estate Sales Agents
"Architecture and Related Services, Other.",NO MATCH
African Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
American/United States Studies/Civilization.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Asian Studies/Civilization.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
East Asian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Russian, Central European, East European and Eurasian Studies.","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
European Studies/Civilization.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Latin American Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Near and Middle Eastern Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Pacific Area/Pacific Rim Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Russian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Scandinavian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
South Asian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Southeast Asian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Western European Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Canadian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Balkans Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Baltic Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Slavic Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Caribbean Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Ural-Altaic and Central Asian Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Commonwealth Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Regional Studies (U.S., Canadian, Foreign).","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Chinese Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
French Studies.,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
